Region,Key Apps,Team,Priority,Ticket Type,Number,State,Created,Reason,Age,Ageing Bucket,Backlog With,Week_Reported,Month Name,Year,Week,YearWeek
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10140868,On Hold,04/01/2021 16:28,Awaiting User input,5.31,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,PeopleSoft Ricochet,GD,P3 - Minor,SR,INC10140782,On Hold,04/01/2021 16:19,Awaiting User input,5.32,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,Other - NA,GD,P3 - Minor,SR,INC10140713,Work In Progress,04/01/2021 16:13,Work In Progress,5.32,00-30,With IBM,2021-01,Jan,2021,1,202101
NA.,PeopleSoft Ricochet,Local,P3 - Minor,SR,INC10140655,On Hold,04/01/2021 16:06,Awaiting User input,5.33,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10140345,Work In Progress,04/01/2021 15:43,Work In Progress,5.34,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10140186,On Hold,04/01/2021 15:23,Customer unavailable 2nd Attempt,5.36,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10140065,On Hold,04/01/2021 15:17,Non IBM 3rd Party Engagement,5.36,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,GD,P4 - Minimal,SR,INC10139858,On Hold,04/01/2021 14:57,Customer unavailable 2nd Attempt,5.38,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,Incident,INC10139605,On Hold,04/01/2021 14:36,Customer unavailable 2nd Attempt,5.39,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10139585,On Hold,04/01/2021 14:35,Awaiting User input,5.39,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10139527,On Hold,04/01/2021 14:30,Awaiting User input,5.4,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,SAP,GD,P3 - Minor,SR,INC10139455,On Hold,04/01/2021 14:32,Non IBM 3rd Party Engagement,5.39,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,HR.net (Talent Tree),Local,P4 - Minimal,SER,INC10139215,On Hold,04/01/2021 14:04,Awaiting User input,5.41,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10138962,On Hold,04/01/2021 16:41,Work not yet due,5.3,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,HR.net (Talent Tree),Local,P4 - Minimal,SR,INC10138918,On Hold,04/01/2021 13:29,Customer unavailable 1st Attempt,5.44,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,Incident,INC10138785,On Hold,04/01/2021 13:14,Customer unavailable 2nd Attempt,5.45,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10138754,On Hold,04/01/2021 13:12,Awaiting User input,5.45,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10138717,Work In Progress,04/01/2021 13:10,Work In Progress,5.45,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10138514,On Hold,04/01/2021 12:45,Awaiting User input,5.47,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SER,INC10138343,Work In Progress,04/01/2021 12:23,Work In Progress,5.48,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SER,INC10138274,On Hold,04/01/2021 12:13,Customer Testing,5.49,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,Incident,INC10138117,On Hold,04/01/2021 11:54,Customer unavailable 1st Attempt,5.5,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10138110,Work In Progress,04/01/2021 11:55,Work In Progress,5.5,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SER,INC10138040,Work In Progress,04/01/2021 12:02,Work In Progress,5.5,00-30,With IBM,2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,Incident,INC10138014,Work In Progress,04/01/2021 11:43,Work In Progress,5.51,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10137985,Work In Progress,04/01/2021 11:39,Work In Progress,5.51,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10137770,On Hold,04/01/2021 11:19,Customer unavailable 2nd Attempt,5.53,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Adept,GD,P3 - Minor,SER,INC10137503,On Hold,04/01/2021 10:56,Hold for Release Planning,5.54,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10137374,On Hold,04/01/2021 11:26,Customer unavailable 2nd Attempt,5.52,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10137227,Work In Progress,04/01/2021 10:34,Work In Progress,5.56,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10137013,On Hold,04/01/2021 10:16,Awaiting User input,5.57,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10136362,On Hold,04/01/2021 9:28,Customer Testing,5.61,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10136302,On Hold,04/01/2021 9:23,Awaiting User input,5.61,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10136165,Work In Progress,04/01/2021 9:12,Work In Progress,5.62,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10136058,On Hold,04/01/2021 9:02,Customer Testing,5.62,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,Local,P3 - Minor,SER,INC10136031,Work In Progress,04/01/2021 9:00,Work In Progress,5.62,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10136022,Work In Progress,04/01/2021 8:59,Work In Progress,5.63,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10136019,Work In Progress,04/01/2021 8:59,Work In Progress,5.63,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10136005,Work In Progress,04/01/2021 8:58,Work In Progress,5.63,00-30,With IBM,2021-01,Jan,2021,1,202101
APAC,Adept,Local,P3 - Minor,SR,INC10135986,On Hold,04/01/2021 8:56,Monitoring,5.63,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10135946,On Hold,04/01/2021 8:53,Customer Testing,5.63,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10135465,On Hold,04/01/2021 8:07,Customer Testing,5.66,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Other - APAC,Local,P3 - Minor,Incident,INC10135083,On Hold,04/01/2021 7:12,Monitoring,5.7,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10134952,On Hold,04/01/2021 6:48,Customer Testing,5.72,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Adept,GD,P3 - Minor,SR,INC10134328,On Hold,04/01/2021 4:15,Awaiting User input,5.82,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
NA.,SAP,GD,P3 - Minor,SR,INC10134262,On Hold,04/01/2021 3:55,Monitoring,5.84,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Other - APAC,Local,P4 - Minimal,SER,INC10134225,Work In Progress,04/01/2021 3:41,Work In Progress,5.85,00-30,With IBM,2021-01,Jan,2021,1,202101
APAC,Other - APAC,GD,P3 - Minor,Incident,INC10133932,On Hold,04/01/2021 2:25,Customer unavailable 1st Attempt,5.9,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
APAC,Adept,Local,P4 - Minimal,SR,INC10133876,On Hold,04/01/2021 2:06,Awaiting User input,5.91,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10132509,On Hold,02/01/2021 17:55,Awaiting User input,7.25,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10132499,Work In Progress,02/01/2021 17:41,Work In Progress,7.26,00-30,With IBM,2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10131710,Work In Progress,01/01/2021 18:35,Work In Progress,8.23,00-30,With IBM,2021-01,Jan,2021,1,202101
NA.,SAP,GD,P3 - Minor,SR,INC10131668,On Hold,01/01/2021 17:45,Awaiting User input,8.26,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10131373,Work In Progress,01/01/2021 10:29,Work In Progress,8.56,00-30,With IBM,2021-01,Jan,2021,1,202101
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10131231,On Hold,01/01/2021 6:07,Awaiting User input,8.74,00-30,With WPP (On Hold),2021-01,Jan,2021,1,202101
Global - NA,Maconomy - NA,Local,P3 - Minor,SR,INC10168807,Queued,09/01/2021 7:00,Queued,0.71,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10168280,On Hold,08/01/2021 22:07,Non IBM 3rd Party Engagement,1.08,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,Incident,INC10168275,On Hold,08/01/2021 22:04,Customer unavailable 1st Attempt,1.08,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
NA.,SAP,Local,P3 - Minor,SER,INC10168263,Queued,08/01/2021 22:09,Queued,1.08,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10168122,Work In Progress,08/01/2021 21:03,Work In Progress,1.12,00-30,With IBM,2021-02,Jan,2021,2,202102
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10168111,Queued,08/01/2021 20:59,Queued,1.13,00-30,With IBM,2021-02,Jan,2021,2,202102
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10168082,Queued,08/01/2021 20:46,Queued,1.13,00-30,With IBM,2021-02,Jan,2021,2,202102
NA.,SAP,GD,P3 - Minor,SR,INC10168058,On Hold,08/01/2021 20:32,Monitoring,1.14,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,Incident,INC10168056,On Hold,08/01/2021 20:31,Awaiting User input,1.14,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,Incident,INC10168042,On Hold,08/01/2021 20:25,Customer Testing,1.15,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10168037,Queued,08/01/2021 20:24,Queued,1.15,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Tango & Condor,Local,P3 - Minor,SR,INC10168022,On Hold,08/01/2021 20:17,Awaiting User input,1.15,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10168014,On Hold,08/01/2021 20:10,Hold for Release Planning,1.16,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10167988,Queued,08/01/2021 19:53,Queued,1.17,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - NA,Maconomy - NA,GD,P4 - Minimal,SR,INC10167959,Work In Progress,08/01/2021 19:46,Work In Progress,1.18,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,Incident,INC10167930,On Hold,08/01/2021 19:33,Awaiting User input,1.18,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10167927,Queued,08/01/2021 19:34,Queued,1.18,00-30,With IBM,2021-02,Jan,2021,2,202102
NA.,PeopleSoft Ricochet,GD,P3 - Minor,SR,INC10167911,Work In Progress,08/01/2021 19:28,Work In Progress,1.19,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10167876,On Hold,08/01/2021 19:11,Non IBM 3rd Party Engagement,1.2,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10167852,On Hold,08/01/2021 19:04,Awaiting User input,1.2,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,Incident,INC10167820,On Hold,08/01/2021 18:52,Customer Testing,1.21,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
NA.,SAP,GD,P3 - Minor,SR,INC10167782,On Hold,08/01/2021 18:40,Monitoring,1.22,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10167745,On Hold,08/01/2021 18:31,Non IBM 3rd Party Engagement,1.23,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10167736,On Hold,08/01/2021 18:28,Awaiting User input,1.23,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10167669,On Hold,08/01/2021 18:12,Non IBM 3rd Party Engagement,1.24,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
NA.,PeopleSoft Ricochet,GD,P4 - Minimal,SR,INC10167660,Work In Progress,08/01/2021 18:07,Work In Progress,1.24,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Tango & Condor,Local,P4 - Minimal,SR,INC10167514,On Hold,08/01/2021 17:41,Awaiting User input,1.26,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10167449,Work In Progress,08/01/2021 17:19,Work In Progress,1.28,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10167442,On Hold,08/01/2021 17:16,Awaiting User input,1.28,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
NA.,PeopleSoft Ricochet,Local,P3 - Minor,SR,INC10167436,Work In Progress,08/01/2021 17:15,Work In Progress,1.28,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P3 - Minor,SR,INC10167404,Queued,08/01/2021 17:07,Queued,1.29,00-30,With IBM,2021-02,Jan,2021,2,202102
NA.,SAP,GD,P3 - Minor,SR,INC10167365,On Hold,08/01/2021 16:56,Monitoring,1.29,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10167347,On Hold,08/01/2021 16:57,Awaiting User input,1.29,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - NA,GD,P4 - Minimal,SR,INC10167318,On Hold,08/01/2021 16:46,Awaiting User input,1.3,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10167246,Queued,08/01/2021 16:30,Queued,1.31,00-30,With IBM,2021-02,Jan,2021,2,202102
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10167203,Queued,08/01/2021 16:21,Queued,1.32,00-30,With IBM,2021-02,Jan,2021,2,202102
APAC,Adept,Local,P3 - Minor,Incident,INC10167160,Queued,08/01/2021 16:09,Queued,1.33,00-30,With IBM,2021-02,Jan,2021,2,202102
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10167126,On Hold,08/01/2021 16:01,Work not yet due,1.33,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10167103,On Hold,08/01/2021 16:00,Awaiting User input,1.33,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
NA.,Other - NA,GD,P3 - Minor,SR,INC10167098,Work In Progress,08/01/2021 15:57,Work In Progress,1.33,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10167018,Queued,08/01/2021 15:39,Queued,1.35,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166984,On Hold,08/01/2021 15:35,Work not yet due,1.35,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10166957,On Hold,08/01/2021 15:27,Non IBM 3rd Party Engagement,1.36,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166940,On Hold,08/01/2021 15:23,Non IBM 3rd Party Engagement,1.36,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166939,Queued,08/01/2021 15:20,Queued,1.36,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10166896,On Hold,08/01/2021 15:12,Awaiting User input,1.37,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
NA.,JD Edwards,GD,P4 - Minimal,SR,INC10166852,On Hold,08/01/2021 15:04,Customer Testing,1.37,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10166781,On Hold,08/01/2021 14:51,Non IBM 3rd Party Engagement,1.38,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10166708,On Hold,08/01/2021 14:37,Awaiting User input,1.39,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10166703,On Hold,08/01/2021 14:40,Awaiting User input,1.39,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166701,On Hold,08/01/2021 14:39,Work not yet due,1.39,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10166675,On Hold,08/01/2021 14:32,Awaiting User input,1.39,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10166655,Queued,08/01/2021 14:27,Queued,1.4,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166583,On Hold,08/01/2021 14:32,Awaiting User input,1.39,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10166513,On Hold,08/01/2021 14:09,Awaiting User input,1.41,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
NA.,SAP,GD,P3 - Minor,SR,INC10166492,On Hold,08/01/2021 14:14,Awaiting User input,1.41,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10166473,Queued,08/01/2021 13:51,Queued,1.42,00-30,With IBM,2021-02,Jan,2021,2,202102
NA.,Other - NA,Local,P3 - Minor,SER,INC10166444,Queued,08/01/2021 13:49,Queued,1.42,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10166409,Queued,08/01/2021 13:40,Queued,1.43,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P3 - Minor,SER,INC10166397,Work In Progress,08/01/2021 13:39,Work In Progress,1.43,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Tango & Condor,Local,P3 - Minor,Incident,INC10166388,On Hold,08/01/2021 13:49,Awaiting User input,1.42,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10166325,On Hold,08/01/2021 13:59,Work not yet due,1.42,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10166295,Work In Progress,08/01/2021 13:16,Work In Progress,1.45,00-30,With IBM,2021-02,Jan,2021,2,202102
APAC,Adept,Local,P4 - Minimal,SR,INC10166260,Queued,08/01/2021 13:11,Queued,1.45,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10166256,Work In Progress,08/01/2021 13:10,Work In Progress,1.45,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,SR,INC10166079,On Hold,08/01/2021 12:48,Awaiting User input,1.47,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10166017,Queued,08/01/2021 12:35,Queued,1.48,00-30,With IBM,2021-02,Jan,2021,2,202102
APAC,Adept,Local,P3 - Minor,Incident,INC10165865,Queued,08/01/2021 12:06,Queued,1.5,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10165863,On Hold,08/01/2021 12:05,Awaiting User input,1.5,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10165804,Work In Progress,08/01/2021 11:55,Work In Progress,1.5,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10165780,Work In Progress,08/01/2021 11:50,Work In Progress,1.51,00-30,With IBM,2021-02,Jan,2021,2,202102
APAC,Adept,Local,P4 - Minimal,SR,INC10165662,Queued,08/01/2021 11:30,Queued,1.52,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10165626,On Hold,08/01/2021 11:24,Non IBM 3rd Party Engagement,1.52,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10165579,On Hold,08/01/2021 11:16,Awaiting User input,1.53,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P3 - Minor,SER,INC10165523,Work In Progress,08/01/2021 11:07,Work In Progress,1.54,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P3 - Minor,Incident,INC10165487,On Hold,08/01/2021 11:05,Non IBM 3rd Party Engagement,1.54,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10165474,Queued,08/01/2021 10:59,Queued,1.54,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - NA,Maconomy - NA,GD,P3 - Minor,SR,INC10165418,Work In Progress,08/01/2021 13:25,Work In Progress,1.44,00-30,With IBM,2021-02,Jan,2021,2,202102
EMEA,Other - EMEA,Local,P3 - Minor,SR,INC10165408,On Hold,08/01/2021 11:15,Work not yet due,1.53,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10165383,Queued,08/01/2021 10:48,Queued,1.55,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P4 - Minimal,SR,INC10165267,Queued,08/01/2021 10:35,Queued,1.56,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10165204,On Hold,08/01/2021 10:29,Non IBM 3rd Party Engagement,1.56,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,Local,P3 - Minor,SR,INC10165113,Queued,08/01/2021 10:12,Queued,1.57,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10165104,Work In Progress,08/01/2021 10:11,Work In Progress,1.58,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - NA,Maconomy - NA,Local,P4 - Minimal,SR,INC10165101,Work In Progress,08/01/2021 10:10,Work In Progress,1.58,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10165072,Work In Progress,08/01/2021 10:05,Work In Progress,1.58,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,HR.net (Talent Tree),Local,P4 - Minimal,SR,INC10165050,Queued,08/01/2021 10:02,Queued,1.58,00-30,With IBM,2021-02,Jan,2021,2,202102
APAC,Other - APAC,GD,P3 - Minor,Incident,INC10165012,On Hold,08/01/2021 10:02,Customer Testing,1.58,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10165001,Work In Progress,08/01/2021 9:55,Work In Progress,1.59,00-30,With IBM,2021-02,Jan,2021,2,202102
LATAM,Other - LATAM,Local,P4 - Minimal,SR,INC10164971,Work In Progress,08/01/2021 9:55,Work In Progress,1.59,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,GD,P4 - Minimal,SR,INC10164940,Work In Progress,08/01/2021 9:45,Work In Progress,1.59,00-30,With IBM,2021-02,Jan,2021,2,202102
NA.,Other - NA,GD,P3 - Minor,SR,INC10164804,Work In Progress,08/01/2021 9:23,Work In Progress,1.61,00-30,With IBM,2021-02,Jan,2021,2,202102
NA.,SAP,Local,P3 - Minor,SER,INC10164679,Queued,08/01/2021 9:24,Queued,1.61,00-30,With IBM,2021-02,Jan,2021,2,202102
Global - EMEA,Maconomy - EMEA,GD,P3 - Minor,SR,INC10164617,Work In Progress,08/01/2021 8:55,Work In Progress,1.63,00-30,With IBM,2021-02,Jan,2021,2,202102
APAC,Adept,GD,P3 - Minor,SR,INC10164488,On Hold,08/01/2021 8:33,Awaiting User input,1.64,00-30,With WPP (On Hold),2021-02,Jan,2021,2,202102
